Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume
2019-08-21,0.27432,0.27448,0.25871,0.26589,60607962.3,2019-08-21 23:59:59.999000064,16072611.975086,59345,29876355.9,7923753.693013
2019-08-22,0.26589,0.27419,0.26028,0.27039,58263968.5,2019-08-22 23:59:59.999000064,15653020.227751,74102,29878081.4,8029579.483072
2019-08-23,0.27038,0.27815,0.26727,0.27664,45140229.6,2019-08-23 23:59:59.999000064,12336542.784971,53838,23863714.0,6525082.30709
2019-08-24,0.27663,0.27726,0.2637,0.27137,42809616.8,2019-08-24 23:59:59.999000064,11569289.116246,49049,20974563.0,5669916.667105
2019-08-25,0.27149,0.27602,0.26597,0.26954,45191941.2,2019-08-25 23:59:59.999000064,12245907.452584,51680,23504065.3,6371509.134643
2019-08-26,0.26961,0.27969,0.26704,0.27051,59046898.9,2019-08-26 23:59:59.999000064,16038543.389693,55102,28880044.8,7850002.133198
2019-08-27,0.27051,0.27065,0.26513,0.26954,34119040.9,2019-08-27 23:59:59.999000064,9160037.92978,38730,16848135.0,4523291.405694
2019-08-28,0.26955,0.26974,0.24765,0.25629,55448237.7,2019-08-28 23:59:59.999000064,14351204.182105,49408,26583555.3,6887380.478881
2019-08-29,0.25614,0.26264,0.247,0.25698,74454641.4,2019-08-29 23:59:59.999000064,18910937.662684,66656,37636676.4,9561629.203097
2019-08-30,0.25712,0.2576,0.25199,0.25539,46587713.0,2019-08-30 23:59:59.999000064,11878607.930453,47939,23717991.7,6048034.517131
2019-08-31,0.25541,0.26047,0.25288,0.25747,36321425.5,2019-08-31 23:59:59.999000064,9309855.463157,40828,18352381.9,4705475.738996
2019-09-01,0.25747,0.25891,0.25,0.25593,32881805.2,2019-09-01 23:59:59.999000064,8396989.383994,39569,16313704.6,4168225.888439
2019-09-02,0.25596,0.26428,0.25295,0.2606,60783394.6,2019-09-02 23:59:59.999000064,15660047.933325,54675,30342920.0,7818797.391636
2019-09-03,0.2606,0.267,0.25751,0.26242,56305107.1,2019-09-03 23:59:59.999000064,14738850.844038,59268,28529754.4,7470481.479369
2019-09-04,0.26252,0.26299,0.25598,0.25843,49398294.2,2019-09-04 23:59:59.999000064,12827285.98578,54442,25325521.0,6578694.373645
2019-09-05,0.25843,0.25937,0.25337,0.25617,43270120.3,2019-09-05 23:59:59.999000064,11089322.561886,46246,21833085.6,5596146.909768
2019-09-06,0.25616,0.25868,0.24692,0.2511,63377736.5,2019-09-06 23:59:59.999000064,16136824.769319,57313,31316303.8,7976269.445757
2019-09-07,0.25115,0.26285,0.25009,0.25993,53971229.0,2019-09-07 23:59:59.999000064,13824418.378517,55309,28074285.7,7190584.764203
2019-09-08,0.25989,0.26591,0.2555,0.26205,65033003.6,2019-09-08 23:59:59.999000064,17002657.729988,58789,32484751.7,8493042.741657
2019-09-09,0.26205,0.26423,0.25634,0.25855,58537945.7,2019-09-09 23:59:59.999000064,15205988.480434,52826,30530718.0,7932234.39037
2019-09-10,0.25869,0.26371,0.2535,0.25859,61643971.4,2019-09-10 23:59:59.999000064,15995536.301485,46972,30723440.3,7972245.692891
2019-09-11,0.25855,0.26092,0.251,0.25519,56043242.1,2019-09-11 23:59:59.999000064,14279228.06347,45009,28442721.6,7247616.571086
2019-09-12,0.25515,0.25686,0.25087,0.25406,58547444.6,2019-09-12 23:59:59.999000064,14843159.904309,44658,31926385.4,8095660.956834
2019-09-13,0.25404,0.256,0.25132,0.2552,47599708.2,2019-09-13 23:59:59.999000064,12086872.250654,42137,23448850.9,5956158.098479
2019-09-14,0.25536,0.26551,0.25389,0.26124,70537163.6,2019-09-14 23:59:59.999000064,18393277.175896,50706,36610396.0,9544450.602514
2019-09-15,0.26125,0.26419,0.25386,0.26022,51661196.3,2019-09-15 23:59:59.999000064,13494004.949412,41500,25091499.2,6558625.656012
2019-09-16,0.26015,0.263,0.25664,0.26098,44531031.7,2019-09-16 23:59:59.999000064,11582013.032137,39347,22345541.6,5813703.016227
2019-09-17,0.26103,0.2985,0.25944,0.28561,217381018.1,2019-09-17 23:59:59.999000064,61450339.084478,128949,108806413.1,30736804.609709
2019-09-18,0.28553,0.32631,0.28493,0.31344,300972127.9,2019-09-18 23:59:59.999000064,93346877.964625,170133,152015885.9,47137874.483139
2019-09-19,0.31344,0.31345,0.28208,0.30062,277316439.7,2019-09-19 23:59:59.999000064,82282462.004308,148933,135934576.9,40342529.361088
2019-09-20,0.30064,0.30159,0.2835,0.2936,159272561.6,2019-09-20 23:59:59.999000064,46476133.728335,87076,80020509.1,23350032.424943
2019-09-21,0.2936,0.298,0.28625,0.28961,113934352.2,2019-09-21 23:59:59.999000064,33163246.274949,66568,57759280.4,16818258.413267
2019-09-22,0.28964,0.28982,0.2686,0.27653,117475940.3,2019-09-22 23:59:59.999000064,32630853.067018,69721,56727512.2,15749764.060831
2019-09-23,0.27656,0.28666,0.26601,0.26786,154408602.2,2019-09-23 23:59:59.999000064,42540797.18759,83469,76872625.2,21181159.777337
2019-09-24,0.26787,0.27317,0.21333,0.23282,302577184.1,2019-09-24 23:59:59.999000064,74890289.350329,161683,145063286.8,35992350.39336
2019-09-25,0.23282,0.24953,0.23132,0.2457,169757552.3,2019-09-25 23:59:59.999000064,40828894.012041,112511,85926208.7,20673460.313716
2019-09-26,0.24567,0.25,0.22775,0.2422,125772838.7,2019-09-26 23:59:59.999000064,30233595.403305,74329,60827945.1,14611326.392662
2019-09-27,0.2423,0.248,0.23296,0.24208,89138447.6,2019-09-27 23:59:59.999000064,21396438.049458,61732,44316511.2,10641721.780074
2019-09-28,0.24209,0.24433,0.238,0.24163,45238244.9,2019-09-28 23:59:59.999000064,10912438.143011,40609,21042000.1,5077264.947045
2019-09-29,0.24165,0.24261,0.23427,0.24024,43877272.4,2019-09-29 23:59:59.999000064,10450612.04699,40201,20105228.3,4788722.679568
2019-09-30,0.24024,0.26192,0.2354,0.2566,156913857.0,2019-09-30 23:59:59.999000064,39681370.165334,104760,77817601.1,19683067.018462
2019-10-01,0.25659,0.261,0.24441,0.24788,125399189.7,2019-10-01 23:59:59.999000064,31749270.26543,77762,62442360.3,15815261.713914
